이름,주의사항,성분
건강한 감마리놀렌산100,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취 여부를 결정
② PTP포장의 경우 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의","달맞이꽃종자유, 젤라틴, 글리세린, D-소르비톨액"
비타민C-1000 오리지널,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취 여부를 결정
② PTP포장의 경우 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의","비타민 C, D-소르비톨, 결정셀룰로오스, 이산화규소, 스테아린산마그네슘, 이산화티타늄, 히드록시프로필메틸셀룰로오스, 글리세린지방산에스테르"
진스트15 앰플 플러스,"[인삼가수분해농축액]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처 주의하십시오.
⑶ 유통기한이 경과된 제품은 절대 섭취하지 마십시오.
⑷ 알레르기 및 특이체질이신 분은 반드시 원료명을 확인한 후 섭취하십시오","인삼가수분해농축액(Compound K 5 ㎎/g, 진세노사이드 Rg1 5 ㎎/g), 정제수, 식물혼합농축액, 비타민 혼합분말(가루, 과립), 산탄검, 과라나추출물(추출액)분말(분말 추출물), L-아르기닌, DL-사과산, 흑마늘농축액(농축물), 효소처리스테비아, 자몽종자추출물, 홍삼, 6년근농축액(농축물), 에리스리톨, 치커리식이섬유, 나한과추출물 혼합분말(가루, 과립)"
멀티비타민&미네랄 12,"① 알레르기 체질이신 분은 성분을 확인한 후, 섭취하시기 바랍니다.
② 영ㆍ유아, 임신ㆍ수유부나 질환보유자 또는 약물 복용중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.","황산망간, 엽산, 산화아연, 나이아신, 판토텐산칼슘, DL-알파-토코페릴초산염 혼합제제, 분말비타민A혼합제제, 비타민 B1염산염, 비타민 B2, 비타민 B6 염산염, 비타민 C, 비타민 D3 혼합제제, 과일혼합분말(가루, 과립)(사과 37.2%, 바나나 12.6%, 라즈베리(열매) 10%, 딸기9.7%, 미분당 29%, 해바라기레시틴분말1.2%, 이산화규소 0.3%), 효소처리스테비아, 스테아린산마그네슘, 이산화규소, 초유분말(가루, 과립), 정제포도당, 야채혼합농축분말, 케르세틴, 사과향분말, 사과농축분말, 자일리톨, 허브혼합추출물분말, 복합 효소(EZ)((프로테아제(곰팡이성:HUT) 37.5%, 프로테아제(곰팡이성:SAP) 9.4%, 알파아밀라아제(비세균성) 20%, 말토덱스트린 16.3%, 글루코아밀라아제 10%, 인베르타아제 4%, 리파아제 2.8%))"
데일리케어톡 프리미엄 엠에스엠(MSM)100,#NAME?,엠에스엠(MSM)
글루코사민100 VIP(전량수출용),"알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.
임산부 및 수유부는 섭취를 피할 것
간·심장질환, 수술 전후, 고혈압, 당뇨 및 천식이 있거나 의약품(항응고제 등) 복용 시 전문가와 상담할 것
게 또는 새우에 알레르기가 있는 사람은 섭취에 주의할 것(게 또는 새우를 원재료로 사용한 경우)
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","글루코사민염산염분말(가루, 과립), 젤라틴, 자당지방산에스테르, 빙초산, 이산화티타늄, 식용색소황색제4호, 정제수"
홍삼농축액1,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼농축액(농축물)(진세노사이드 Rg1, Rb1 및 Rg3 의 합 5mg/g)"
홍삼농축액10,"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",홍삼농축액
진스트 고려인삼차(수출용제품명:진스트 15 고려인삼차GINST 15 KOREAN GINSENG TEA),"[인삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처 주의하십시오.
⑶ 유통기한이 경과된 제품은 절대 섭취하지 마십시오.
⑷ 알레르기 및 특이체질이신 분은 반드시 원료명을 확인한 후 섭취하십시오","인삼농축액(농축물)(원료삼 배합비율: 인삼근류 50%, 미삼류 50%, 진세노사이드Rg1과 Rb1의 합 15mg/g), 결정(분말)포도당(무수), 유당혼합분말(가루, 과립)((유당 95%, 덱스트린 5%)), 인삼"
진스트 인삼농축차(수출용제품명:진스트 15 고려인삼농축액GINST 15 KOREAN GINSENG EXTRACT),"[인삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처 주의하십시오.
⑶ 유통기한이 경과된 제품은 절대 섭취하지 마십시오.
⑷ 알레르기 및 특이체질이신 분은 반드시 원료명을 확인한 후 섭취하십시오","인삼(원료삼 배합비율: 인삼근류 50%, 미삼류 50%, 진세노사이드 Rg1과 Rb1의 합10mg/g), 인삼"
생 유산균10,"1. 알레르기 체질이신 경우 성분을 확인한 후 섭취 여부를 결정
2. PTP포장의 경우 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의","유산균 혼합(Lactobacillus acidophilus(1x10(10)cfu/g이상) 1%, Lactobacillus plantarum(1x10(10)cfu/g이상) 1.5%, Lactobacillus casei(1x10(10)cfu/g이상) 1%, Lactobacillus rhamnosus(1x10(10)cfu/g이상) 1%, Lactobacillus paracasei(1x10(10)cfu/g, D-소르비톨, 프락토올리고당, 폴리덱스트로스, 옥수수전분, 자일리톨, 딸기향분말(가루, 과립)(딸기향키베이스 4.5%, 덱스트린 86%, 유당 6.8%, 에틸말톨 2.5%, 펙틴 0.2%), 딸기맛분말(가루, 과립)(결정과당 61.05%, 분말결정 포도당 20%, 덱스트린 10%, 딸기향코톤 3.5%, 딸기농축분말 3%, 구연산 1.5%, 이산화규소 0.6%, O/S 레드칼라 0.2%,  정제소금 0.1%, 스테비올배당체 0.0, 이산화규소, 구연산, 갈락토올리고당, 석류추출물(추출액)분말(분말 추출물), 타우린, 비타민 A 혼합제제분말(가루, 과립)(분말비타민A 11.5%, DL-알파-토코페롤 1.5%, 말토덱스트린 47%, 아라비아검 20%, 옥수수전분 20%), 비타민 C, 효소처리스테비아, 스테아린산마그네슘"
진스트 고려인삼연질캡슐(GINST KOREAN GINSENG SOFT CAPSULE)(수출용제품명:진스트 15 고려인삼 연질캡슐GINST 15 KOREAN GINSENG SOFT CAPSULE),"[인삼가수분해농축액]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","인삼가수분해농축액(진세노사이드 Rg1 5 mg/g, Compound K 5 mg/g), 글리세린, 카라기난, 변성전분, 호박씨유, 보라지종자유, 쌀겨왁스, 팜유, 자당지방산에스테르, D-α-토코페롤(D-α-토코페롤 71.7%, 대두유 28.3%)"
하루씨 1000,"1. 알레르기 체질이신분은 성분을 확인하시고 섭취하십시오.
2. 영ㆍ유아, 임신ㆍ수유부나 질환보유자 또는 약물복용중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.","비타민 C, 비타민 B2, 결정(분말)포도당, D-소르비톨, 레몬향분말(가루, 과립)(덱스트린 49.25%, 유당 40%, 레몬향키베이스 10%, 펙틴 0.75%), 이산화규소, 레몬 과즙분말(가루, 과립)(레몬농축고형분 30% , 덱스트린 70%), 수크랄로스"
프리미엄비타민D1000,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취 여부를 결정
② PTP포장의 경우 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의","비타민 D3 혼합제제(비타민D3 0.25%, DL-알파-토코페롤 0.2%, 가공유지 7.5%, 아라비아검 38%, 자당 38%, 옥수수전분 15.55%, 이산화규소 0.5%), 결정셀룰로오스, 유당혼합분말(가루, 과립)(유당 95%, 덱스트린 5%), 히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 이산화규소"
번업12,"[공액리놀레산]①위장장애가 발생할 수 있음 ②영유아, 임산부는 섭취를 삼가야 함 ③식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임
알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.","공액리놀레산(홍화유 99.9%, D-토코페롤(혼합형) 0.1%), 니코틴산아미드, 판토텐산칼슘, 비타민 B6 염산염, 젤라틴, 글리세린, D-소르비톨액, 식용색소적색제40호, 식용색소청색제1호, 식용색소적색제2호, 식용색소적색제3호, 포도씨유 , 올레오레진캡시컴(혼합제제)(포도당 60.0%, 덱스트린 33.5%, 올레오레진캡시컴 4.0%, 폴리소르베이트 80 2.0%, 파프리카추출색소 0.5%), 팜유(정제팜유), 밀납, 대두레시틴, 녹차추출물분말(가루, 과립), 과라나추출물(추출액)분말(분말 추출물)(과라나씨추출물 70%, 말토덱스트린 30%), 수산화마그네슘, D-α-토코페롤(D-α-토코페롤67.1%,식물성유지(대두유50%,카놀라유50%)32.9%), L-카르니틴"
얼라이브10프로바이오틱스300,"1. 특이체질, 알레르기 체질인 경우에는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인한 후 섭취하십시오. 
2. 유통기한이 경과된 제품은 섭취하지 마십시오.","유산균 혼합분말(가루, 과립)(10종혼합유산균[100,000,000,000cfu/g이상(Lactobacillus acidophilus 1.2%, Lactobacillus casei 1.2%, Lactobacillus plantarum 1.2%, Lactobacillus rhamnosus 1.2%, Lactobacillus reuteri 1.2%, Streptococcus the, 비타민 B1염산염, 비타민 B2, 비타민 B6 염산염, 판토텐산칼슘, 결정(분말)포도당, 자일리톨, 치커리(뿌리)추출물(추출액)분말(분말 추출물), 프락토올리고당, 이소말트, 블루베리(열매)농축액(농축물)분말, 블루베리향분말(가루, 과립)(블루베리향키베이스Ⅰ 10%, 블루베리향 키베이스Ⅱ 0.2%, 아라비아검 4.95%, 덱스트린 84.85%), 이산화규소, 구연산, 갈락토올리고당, 아가베시럽분말(가루, 과립), 비타민 C, 스테아린산마그네슘"
예비채 브라운진스트15(YEVICHE BROWN GINST15),"[인삼가수분해농축액]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼농축액(농축물)(고형분함량 60%, 원료삼 배합비율: 홍삼근류 60%, 홍미삼류 40%), 인삼가수분해농축액(진세노사이드 Rg1 5 ㎎/g, Compound K 5 ㎎/g), 정제수, 이소말토올리고당, 식물혼합농축액(맥동지황혼합농축액), 비타민 혼합분말(가루, 과립), 잔탄검, 과라나추출물(추출액)분말(분말 추출물), L-아르기닌, DL-사과산, 흑마늘농축액(농축물), 효소처리스테비아, 자몽종자추출물"
진스트 15 고려인삼정 (GINST 15 KOREAN GINSENG TABLET),"[인삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처 주의하십시오.
⑶ 유통기한이 경과된 제품은 절대 섭취하지 마십시오.
⑷ 알레르기 및 특이체질이신 분은 반드시 원료명을 확인한 후 섭취하십시오.","인삼(뿌리)농축액(농축물)(고형분함량 60%, 원료삼 배합비율: 인삼근류 50%, 미삼류 50%), 유당혼합분말(가루, 과립), 결정셀룰로오스, 인삼가수분해농축액, 영지버섯(자실체)농축액(농축물), 자당지방산에스테르, 콜라겐"
비타민C1000mg,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
② 질환보유자 또는 약물 복용중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.","비타민 C, D-소르비톨, 이산화규소, 스테아린산마그네슘, 히드록시프로필메틸셀룰로오스"
진스트 15 고려인삼 앰플플러스(GINST 15KOREAN GINSENG AMPLE +),"[인삼가수분해농축액]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
⑵ 제품 개봉 또는 섭취 시 포장재에 의한 상처 주의하십시오.
⑶ 유통기한이 경과된 제품은 절대 섭취하지 마십시오.
⑷ 알레르기 및 특이체질이신 분은 반드시 원료명을 확인한 후 섭취하십시오.","인삼가수분해농축액(Compound K 5 ㎎/g,진세노사이드 Rg1 5 ㎎/g), 정제수, 이소말토올리고당, 식물혼합농축액(맥동지황혼합농축액), 비타민 B 복합제제(혼합)분말(가루, 과립), 잔탄검, 홍삼농축액(농축물), 과라나추출물(추출액)분말(분말 추출물), DL-사과산, 흑마늘농축액(농축물), 스테비올배당체, 자몽종자추출물"
더팜 썬디드롭스 1000IU,유소아와 성인의 섭취요구량이 다르므로 참고해서 섭취하도록 할 것,"비타민 D 혼합, 중쇄중성지방"
삼성MSM100,알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.,MSM
얼라이브17프로바이오틱스300,"1. 특이체질, 알레르기 체질인 경우에는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인한 후 섭취하십시오. 
2. 유통기한이 경과된 제품은 섭취하지 마십시오.","유산균 혼합분말(가루, 과립)(17종혼합유산균[100,000,000,000cfu/g이상(Lactobacillus plantarum 5%, Lactobacillus paracasei 5%, Lactobacillus rhamnosus 5%, Lactobacillus casei 1.5%, Lactobacillus acidophilus 0.25%, Lactobacillus reuter, 비타민 B1염산염, 비타민 B2, 비타민 B6 염산염, 글루콘산아연, 결정(분말)포도당, 폴리덱스트로스, 치커리(뿌리)추출물(추출액)분말(분말 추출물), 프락토올리고당, 이소말트, 블루베리(열매)농축액(농축물)분말, 이산화규소, 블루베리향분말(가루, 과립)(블루베리향키베이스Ⅰ 10%, 블루베리향 키베이스Ⅱ 0.2%, 아라비아검 4.95%, 덱스트린 84.85%), 당화균혼합분말(가루, 과립)(당화균A), 갈락토올리고당, 아가베시럽분말(가루, 과립), 구연산, 비타민 C, 스테아린산마그네슘, 효소처리스테비아"
오프10,"[공액리놀레산]①위장장애가 발생할 수 있음 ②영유아, 임산부는 섭취를 삼가야 함 ③식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임
[비타민D](가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.","공액리놀레산(고시형), d-α-토코페롤, 레티닐 팔미트산염 혼합제제, 비타민 D3 혼합제제유지(Oil)(비타민D3 2.5%, 가공유지 97.25%, DL-알파-토코페롤 0.25%), 젤라틴, 글리세린, 오징어먹물색소, 팜유(정제팜유), 산화마그네슘, 밀납, 대두레시틴, 석류농축분말, 생선콜라겐분말(가루, 과립), 베리혼합분말(가루, 과립)(포도분말 28%, 석류분말 15%, 아세로라추출물 15%, 말토덱스트린 10%, 블루베리분말 8%, 아사이베리분말 5%, 샤워체리분말 5%, 빌베리분말 5%, 라즈베리분말 3%, 딸기분말 , 과일채소혼합분말(가루, 과립)(사과분말 30%, 바나나분말 18%, 복숭아분말 11%, 포도분말 7%, 망고분말 1.5%, 당근분말 6%, 브로콜리분말 6%, 시금치분말 6%, 양파분말 5%, 케일분말 5%, 파인애플분말 , 허브혼합추출물(추출액)분말(분말 추출물)(히비스커스추출분말 72%, 앨더베리추출분말 9%, 레몬껍질추출분말 4.5%, 오렌지껍질추출분말 3.6%, 로즈힙추출분말 0.9%, 말토덱스트린 10%), 테아닌, 유산균혼합분말, 히알루론산"
닥터썬디드롭스 1000IU,유소아와 성인의 섭취요구량이 다르므로 참고해서 섭취하도록 할 것,"비타민 D 혼합, 중쇄중성지방"
로즈힙유플렉스골드100,"알레르기 반응을 보이는 사람의 경우 섭취전 성분 확인 필요함.
임산부, 수유부, 어린이의 섭취는 전문의와 상담 후 섭취를 권장함.
섭취 시 불편할 수 있으므로 충분한 물과 함께 섭취하십시오. 제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의하시고 이상반응이 있을 시 제품에 기재된 고객상담실로 문의하십시오","로즈힙분말(Hyperoside 0.1㎎/g), 젤라틴, 자당지방산에스테르, 빙초산, 정제수"
예비채 진스트15 홍삼정,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의

의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 6년근(고시형), 인삼가수분해농축액"
파미스마그네슘100,알레르기 체질이신 분은 성분 확인 후 섭취하십시오. 섭취 시 불편할 수 있으므로 충분한 물과 함께 섭취하십시오. 제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의하시고 섭취 후 이상반응이 있을 시 제품에 기재된 고객상담실로 문의하십시오.,"비타민 B1염산염, 비타민 B6 염산염, 산화마그네슘, 유당혼합분말, 결정셀룰로오스, 덱스트린, 카르복시메틸셀룰로오스칼슘, 히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 이산화티타늄"
삼삼120,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼농축액(고시형), 동식물혼합, 글리세린, 벌꿀"
히어로키드B1(HERO KID)(전량수출용),"1.음용시 잘흔들어 혼합하여 음용한다.
2.알르레기 체질이신 경우 성분을 확인하신후 섭취.
3.제품 개봉 또는 섭취시 포장재에 의한 상처를 입을 수 있으니 주의하시기 바랍니다.
4.제품의 섭취시 섭취량 및 섭취방법을 확인하고 섭취하여 주십시오.
5.섭취시 위장장애, 소화불량, 이상반응 등의 증상이 있을 경우 섭취를 중단한다","비타민B1염산염(고시형), 비타민B6염산염혼합제제, 비타민C(고시형), 비타민D3 분말, 정제수, 헛개나무농축액, 밀크씨슬(카라두스 마리아누스)추출물(고시형), 시클로덱스트린, 벌꿀, 홍삼농축액, 액상과당, 해조칼슘, 딸기농축액, 딸기과즙분말, 딸기향, 잔탄검, 유단백가수분해물, 구연산삼나트륨, 구연산, 수크랄로스, L-카르니틴, 니코틴산아미드, 비타민B2(고시형)"
한미글루코사민100골드,"(가) 임산부 및 수유부는 섭취를 피할 것
(나) 간·심장질환, 수술 전후, 고혈압, 당뇨 및 천식이 있거나 의약품(항응고제 등) 복용 시 전문가와 상담할 것
(다) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의할 것(게 또는 새우를 원재료로 사용한 경우)
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","글루코사민염산염분말(고시형), 캡슐류"
비타민C1000 오리지날,#NAME?,"비타민C혼합제제, D-소르비톨, 결정셀룰로오스, 스테아린산마그네슘"
홍삼농축액분말1,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",홍삼(고시형)
쏠라D 츄어블 1000IU,"(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","분말비타민D3혼합제제, DL-사과산, 사과향분말, 히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 이산화규소, 효소처리스테비아, 건조맥주효모, 초유분말, 홍삼농축액분말, 산화아연(고시형), 코엔자임 Q10(고시형), 사과과즙분말, 자일리톨, 포도당, D-소르비톨"
예비채 진스트15 홍삼정,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼(고시형), 인삼농축액"
발효인삼농축액1,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",인삼(고시형)
징코빌로바11,"① 임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의 ② 의약품(항응고제) 복용 시 섭취에 주의
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
특히 6세 이하는 과량섭취하지 않도록 주의","은행잎추출물분말, 황산동(고시형), 비타민B2(고시형), 비타민 B1염산염, 비타민 B6 염산염, 황산망간(고시형), 산화아연(고시형), 판토텐산칼슘(고시형), 푸마르산제일철(고시형), 니코틴산아미드(고시형), 건조효모(셀렌함유), 아미노산혼합분말, 히드록시프로필메틸셀룰로오스, 카르복시메틸셀룰로오스나트륨, 스테아린산마그네슘, 이산화규소, 유당혼합분말, 결정셀룰로오스, 당귀추출분말"
경남비타민C1000플러스멀티B,"질환보유자 또는 약물 복용 중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.
알레르기 체질이신 분은 성분을 확인한 후 섭취하시기 바랍니다.","비타민C(고시형), 비타민B1염산염(고시형), 피리독신염산염(고시형), 판토텐산칼슘(고시형), 니코틴산아미드(고시형), 산화아연(고시형), 비오틴(고시형), 결정셀룰로오스, 히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 이산화티타늄, 치자황색소"
멀티비타10,#NAME?,"분말비타민D3혼합제제, 비타민B1염산염(고시형), 비타민B2(고시형), 피리독신염산염(고시형), 비타민C(고시형), 비타민E혼합제제분말, 엽산(고시형), 판토텐산칼슘(고시형), 니코틴산아미드(고시형), 분말비타민A혼합제제, 산화마그네슘(고시형), 유청칼슘, 세븐베리농축분말, 과일혼합분말, 야채혼합농축분말, 아세로라추출분말, 산화아연(고시형), Lactobacillus plantarum, 효소처리스테비아, 무수구연산, 스테아린산마그네슘, 복숭아엑기스분말, 복숭아향분말, 자일리톨, 포도당, 초유분말, 황산망간(고시형), 효소혼합분말"
홍삼농축액11,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",홍삼농축액(고시형)
브이 C(씨) 1000,알레르기 체질이신 분은 원료 성분을 확인하신 후 섭취하십시오. 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시고 이상반응이 있을 시 제품에 기재된 고객상담실로 문의하십시오.,"비타민 C, 결정셀룰로오스, 히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 이산화규소"
발효홍삼농축액분말13,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",발효홍삼농축액분말
인삼농축액 12,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",인삼농축액
플러스코엔자임Q10,알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,"코엔자임 Q10(고시형), 니코틴산아미드, 산화아연, 판토텐산칼슘, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 엽산, 식용색소청색제1호, 식용색소황색제4호, 식용색소황색제5호, 식용색소적색제2호, 식용색소적색제3호, 식용색소적색제40호, 에틸바닐린, 이산화티타늄, D-소르비톨액, 글리세린, 젤라틴, 콩기름(대두유), 대두레시틴, 포도종자추출물, 비타민 C"
뉴트리디데이 플러스 비타민D 1000IU,#NAME?,"비타민 D(고시형), 아미노산혼합분말, 산화아연, 초유분말, 카르복시메틸셀룰로오스칼슘, 스테아린산마그네슘, 해조칼슘, 이산화규소, 덱스트린, 포도당, 결정셀룰로오스, 상어연골분말"
프리미엄 루테인 플러스 12,#NAME?,"루테인(고시형), 비타민 E(고시형), 산화아연(고시형), 셀레늄(고시형), 니코틴산아미드(고시형), 황산망간(고시형), 비타민B12(고시형), 황산동(고시형), 비타민A(고시형), 비타민 B6(고시형), 비타민B2(고시형), 엽산(고시형), 젤라틴, 글리세린, D-소르비톨액, 오징어먹물색소, 추출가공식품, 홍화씨유, 정제팜유, 밀납, 정제어유, 대두레시틴, 빌베리추출물분말, 과일채소혼합분말, 세븐베리농축분말, 헛개나무열매추출분말, 구기자추출물분말, 결명자추출물분말, 식물혼합추출물분말"
다이어트 스페셜 1 포스콜리 500,"임산부, 수유여성, 어린이는 섭취에 주의
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.","혼합제제, 판토텐산칼슘, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 콜레우스포스콜리추출물(기능성원료인정제2012-5호), 히드록시프로필메틸셀룰로스, 아미노산혼합분말, L-카르니틴, 다시마추출물분말, 생선콜라겐, 마테추출물, 녹차추출물분말가루, 난소화성말토덱스트린(고시형), 비타민 C, 치커리뿌리추출물분말, 결정셀룰로오스, 분말결정포도당, 스테아린산마그네슘, 카르복시메틸셀룰로오스칼슘, 이산화규소"
