output,input,instruction
"Hydrocortisone injection comes as powder to be mixed with liquid to be injected intramuscularly (into a muscle) or intravenously (into a vein). Your dosing schedule will depend on your condition and on how you respond to treatment.You may receive hydrocortisone injection in a hospital or medical facility, or you may be given the medication to use at home. If you will be using hydrocortisone injection at home, your healthcare provider will show you how to inject the medication. Be sure that you understand these directions, and ask your healthcare provider if you have any questions. Ask your healthcare provider what to do if you have any problems using hydrocortisone injection.Your doctor may change your dose of hydrocortisone injection during your treatment to be sure that you are always using the lowest dose that works for you. Your doctor may also need to change your dose if you experience unusual stress on your body such as surgery, illness, or infection. Tell your doctor if your symptoms improve or get worse or if you get sick or have any changes in your health during your treatment.",Hydrocortisone Injection,How should Hydrocortisone Injection medicine be used?
"Before receiving hydrocortisone injection,tell your doctor and pharmacist if you are allergic to hydrocortisone, any other medications, benzyl alcohol, or any of the ingredients in hydrocortisone injection. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: aminoglutethimide (Cytadren; no longer available in U.S.); amphotericin B (Abelcet, Ambisome, Amphotec); anticoagulants ('blood thinners') such as warfarin (Coumadin, Jantoven); aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn) and selective COX-2 inhibitors such as celecoxib (Celebrex); carbamazepine (Equetro, Tegretol, Teril); cholinesterase inhibitors such as donepezil (Aricept, in Namzaric), galantamine (Razadyne), neostigmine (Bloxiverz), pyridostigmine (Mestinon, Regonol), and rivastigmine (Exelon); cholestyramine (Prevalite); cyclosporine (Gengraf, Neoral, Sandimmune); medications for diabetes including insulin; digoxin (Lanoxin); diuretics ('water pills'); erythromycin (E.E.S., Ery-Tab, Erythrocin, others); estrogens including hormonal contraceptives (birth control pills, patches, rings, implants, and injections); isoniazid (Laniazid, Rifamate, in Rifater); ketoconazole (Nizoral, Xolegel); phenobarbital; phenytoin (Dilantin, Phenytek); rifabutin (Mycobutin); and rifampin (Rifadin, Rimactane, in Rifamate, in Rifater). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have a fungal infection (other than on your skin or nails). Your doctor will probably tell you not to use hydrocortisone injection. Also, tell your doctor if you have idiopathic thrombocytopenic purpura (ITP; an ongoing condition that may cause easy bruising or bleeding due to an abnormally low number of platelets in the blood). Your doctor probably will not give you hydrocortisone intramuscularly, if you have ITP.tell your doctor if you have or have ever had tuberculosis (TB: a type of lung infection); cataracts (clouding of the lens of the eye); glaucoma (an eye disease); Cushing's syndrome (condition where the body produces too much of the hormone cortisol); diabetes; high blood pressure; heart failure; a recent heart attack; emotional problems, depression or other types of mental illness; myasthenia gravis (a condition in which the muscles become weak); osteoporosis (condition in which the bones become weak and fragile and can break easily); seizures; ulcers; or liver, kidney, heart, intestinal, or thyroid disease. Also tell your doctor if you have any type of untreated bacterial, parasitic, or viral infection anywhere in your body or a herpes eye infection (a type of infection that causes a sore on the eyelid or eye surface).tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while receiving hydrocortisone injection, call your doctor.if you are having surgery, including dental surgery, tell the doctor or dentist that you are receiving hydrocortisone injection.do not have any vaccinations (shots to prevent diseases) without talking to your doctor.you should know that hydrocortisone injection may decrease your ability to fight infection and may prevent you from developing symptoms if you get an infection. Stay away from people who are sick and wash your hands often while you are using this medication. Be sure to avoid people who have chicken pox or measles. Call your doctor immediately if you think you may have been around someone who had chicken pox or measles.",Hydrocortisone Injection,What special precautions should I follow for Hydrocortisone Injection ?
"Methylprednisolone injection is used to treat severe allergic reactions. Methylprednisolone injection is used in the management of multiple sclerosis (a disease in which the nerves do not function properly), lupus (a disease in which the body attacks many of its own organs), gastrointestinal disease, and certain types of arthritis. Methylprednisolone injection is also used to treat certain conditions that affect the blood, skin, eyes, nervous system, thyroid, kidneys, and lungs. It is sometimes used in combination with other medications to treat symptoms of low corticosteroid levels (lack of certain substances that are usually produced by the body and are needed for normal body functioning). Methylprednisolone injection is in a class of medications called corticosteroids. It works to treat people with low levels of corticosteroids by replacing steroids that are normally produced naturally by the body. It also works to treat other conditions by reducing swelling and redness and by changing the way the immune system works.",Methylprednisolone Injection,Why is Methylprednisolone Injection medication prescribed?
"Methylprednisolone injection comes as powder to be mixed with liquid to be injected intramuscularly (into a muscle) or intravenously (into a vein). It also comes as a suspension for injection to be injected intramuscularly, intra-articularly (into a joint), or intralesionally (into a lesion). Your personal dosing schedule will depend on your condition and on how you respond to treatment.You may receive methylprednisolone injection in a hospital or medical facility, or you may be given the medication to use at home. If you will be using methylprednisolone injection at home, your healthcare provider will show you how to inject the medication. Be sure that you understand these directions, and ask your healthcare provider if you have any questions. Ask your healthcare provider what to do if you have any problems using methylprednisolone injection.Your doctor may change your dose of methylprednisolone injection during your treatment to be sure that you are always using the lowest dose that works for you. Your doctor may also need to change your dose if you experience unusual stress on your body such as surgery, illness, or infection. Tell your doctor if your symptoms improve or get worse or if you get sick or have any changes in your health during your treatment.",Methylprednisolone Injection,How should Methylprednisolone Injection medicine be used?
"Before receiving methylprednisolone injection,tell your doctor and pharmacist if you are allergic to methylprednisolone, any other medications, benzyl alcohol, or any of the ingredients in methylprednisolone injection. Ask your pharmacist for a list of the ingredients.Tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take while receiving methylprednisolone injection. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.The following nonprescription products may interact with methylprednisolone: aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn). Be sure to let your doctor and pharmacist know that you are taking these medications before you start receiving methylprednisolone injection. Do not start any of these medications while receiving methylprednisolone injection without discussing with your healthcare provider.tell your doctor if you have a fungal infection (other than on your skin or nails). Your doctor will probably tell you not to use methylprednisolone injection. Also, tell your doctor if you have idiopathic thrombocytopenic purpura (ITP; an ongoing condition that may cause easy bruising or bleeding due to an abnormally low number of platelets in the blood). Your doctor probably will not give you methylprednisolone intramuscularly, if you have ITP.tell your doctor if you have or have ever had tuberculosis (TB: a type of lung infection); cataracts (clouding of the lens of the eye); glaucoma (an eye disease); Cushing's syndrome (condition where the body produces too much of the hormone cortisol); diabetes; high blood pressure; heart failure; a recent heart attack; emotional problems, depression or other types of mental illness; myasthenia gravis (a condition in which the muscles become weak); osteoporosis (condition in which the bones become weak and fragile and can break easily); seizures; ulcers; or liver, kidney, heart, intestinal, or thyroid disease. Also tell your doctor if you have any type of untreated bacterial, parasitic, or viral infection anywhere in your body or a herpes eye infection (a type of infection that causes a sore on the eyelid or eye surface).tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while receiving methylprednisolone injection, call your doctor.if you are having surgery, including dental surgery, tell the doctor or dentist that you are receiving methylprednisolone injection.do not have any vaccinations (shots to prevent diseases) without talking to your doctor.you should know that methylprednisolone injection may decrease your ability to fight infection and may prevent you from developing symptoms if you get an infection. Stay away from people who are sick and wash your hands often while you are using this medication. Be sure to avoid people who have chicken pox or measles. Call your doctor immediately if you think you may have been around someone who had chicken pox or measles.",Methylprednisolone Injection,What special precautions should I follow for Methylprednisolone Injection ?
Chlordiazepoxide is used to relieve anxiety and to control agitation caused by alcohol withdrawal. Chlordiazepoxide is in a class of medications called benzodiazepines. It works by decreasing abnormal electrical activity in the brain.,Chlordiazepoxide,Why is Chlordiazepoxide medication prescribed?
"Chlordiazepoxide comes as a tablet and capsule to take by mouth. It usually is taken one to four times a day with or without food. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take chlordiazepoxide exactly as directed.",Chlordiazepoxide,How should Chlordiazepoxide medicine be used?
"Before taking chlordiazepoxide,tell your doctor and pharmacist if you are allergic to chlordiazepoxide, alprazolam (Xanax), clonazepam (Klonopin), clorazepate (Gen-Xene, Tranxene), diazepam (Diastat, Valium), estazolam, flurazepam, lorazepam (Ativan), oxazepam, temazepam (Restoril), triazolam (Halcion), any other medications, or any of the ingredients in tablets and capsules. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antihistamines; cimetidine (Tagamet); digoxin (Lanoxin); disulfiram (Antabuse); fluoxetine (Prozac, Sarafem, Selfemra); isoniazid (Laniazid, in Rifamate, in Rifater); ketoconazole (Nizoral); levodopa (in Ritary, in Sinemet, in Stalevo); medications for depression, seizures, Parkinson's disease, asthma, colds, or allergies; metoprolol (Lopressor, Toprol XL, others); muscle relaxants; oral contraceptives; probenecid (Probalan, in Col-Probenecid); propranolol (Inderal, Innopran); rifampin (Rifadin, Rimactane, in Rifamate, in Rifater); sedatives; sleeping pills; theophylline (Elixophyllin, Theo 24, Theochron); tranquilizers; and valproic acid (Depakene). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have or have ever had glaucoma; seizures; or lung, heart, or liver disease.tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while taking chlordiazepoxide, call your doctor immediately.talk to your doctor about the risks and benefits of taking chlordiazepoxide if you are 65 years of age or older. Older adults should not usually take chlordiazepoxide because it is not as safe or effective as other medication(s) that can be used to treat the same condition.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking chlordiazepoxide.you should know that this medication may make you drowsy. Do not drive a car or operate machinery until you know how this medication affects you.",Chlordiazepoxide,What special precautions should I follow for Chlordiazepoxide ?
"Ophthalmic tetrahydrozoline is used to relieve minor eye irritation and redness caused by colds, pollen, and swimming.",Tetrahydrozoline Ophthalmic,Why is Tetrahydrozoline Ophthalmic medication prescribed?
"Ophthalmic tetrahydrozoline comes as a solution (liquid) to instill in the eyes. The eye drops are usually instilled in the affected eyes three or four times a day as needed. Follow the directions on the package label or your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use tetrahydrozoline exactly as directed. Do not use more or less of it or use it more often than directed by your doctor or written on the package label.To use the eye drops, follow these steps:Wash your hands thoroughly with soap and water.Check the dropper tip to make sure that it is not chipped or cracked.Avoid touching the dropper tip against your eye or anything else; eye drops and droppers must be kept clean.While tilting your head back, pull down the lower lid of your eye with your index finger to form a pocket.Hold the dropper (tip down) with the other hand, as close to the eye as possible without touching it.Brace the remaining fingers of that hand against your face.While looking up, gently squeeze the dropper so that a single drop falls into the pocket made by the lower eyelid. Remove your index finger from the lower eyelid.Close your eye for 2 to 3 minutes and tip your head down as though looking at the floor. Try not to blink or squeeze your eyelids.Place a finger on the tear duct and apply gentle pressure.Wipe any excess liquid from your face with a tissue.If you are to use more than one drop in the same eye, wait at least 5 minutes before instilling the next drop.Replace and tighten the cap on the dropper bottle. Do not wipe or rinse the dropper tip.Wash your hands to remove any medication.",Tetrahydrozoline Ophthalmic,How should Tetrahydrozoline Ophthalmic medicine be used?
"Before using tetrahydrozoline eye drops,tell your doctor and pharmacist if you are allergic to tetrahydrozoline or any other medications.tell your doctor and pharmacist what prescription and nonprescription medications you are taking, especially eye medications, medications for high blood pressure, MAO inhibitors [phenelzine (Nardil) and tranylcypromine (Parnate)], and vitamins.tell your doctor if you have any eye disease or infection, heart disease, high blood pressure, or an overactive thyroid gland.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using tetrahydrozoline eye drops, call your doctor.if you are having surgery, including dental surgery, tell your doctor or dentist that you are using tetrahydrozoline eye drops. You may have to stop using tetrahydrozoline eye drops for a short time.tell your doctor if you wear soft contact lenses. If the brand of tetrahydrozoline eye drops you are using contains benzalkonium chloride, wait at least 15 minutes after using the medicine to put in soft contact lenses.",Tetrahydrozoline Ophthalmic,What special precautions should I follow for Tetrahydrozoline Ophthalmic ?
"Bacitracin is used to help prevent minor skin injuries such as cuts, scrapes, and burns from becoming infected. Bacitracin is in a class of medications called antibiotics. Bacitracin works by stopping the growth of bacteria.",Bacitracin Topical,Why is Bacitracin Topical medication prescribed?
"Bacitracin comes as an ointment to apply to the skin. It is usually used one to three times a day. Bacitracin ointment is available without a prescription. However, your doctor may give you special directions on the use of this medication for your medical problem. Follow the directions on the package or those given to you by your doctor carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use bacitracin exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor or written on the package.This medication is for use only on the skin. Do not let bacitracin get into your eyes, nose, or mouth and do not swallow it.You may use bacitracin to treat minor skin injuries. However, you should not use this medication to treat deep cuts, puncture wounds, animal bites, serious burns, or any injuries that affect large areas of your body. You should call your doctor or get emergency medical help if you have these types of injuries. A different treatment may be needed. You should also stop using this medication and call your doctor if you use this medication to treat a minor skin injury and your symptoms do not go away within 1 week.Do not apply this medication to a child's diaper area, especially if the skin surface is broken or raw, unless told to do so by a doctor. If you are told to apply it to a child's diaper area, do not use tightly fitting diapers or plastic pants.To use the ointment, follow these steps:Wash your hands well with soap and water. Wash the injured area with soap and water and pat dry thoroughly with a clean towel.Apply a small amount of the ointment (an amount equal to the size of your finger tip) to the injured skin. A thin layer is all that is needed. Do not touch the tip of the tube to your skin, hands, or anything else.Replace and tighten the cap right away.You may cover the affected area with a sterile bandage.Wash your hands again.",Bacitracin Topical,How should Bacitracin Topical medicine be used?
"Before using bacitracin,tell your doctor and pharmacist if you are allergic to bacitracin, zinc, any other medications, or any of the ingredients in bacitracin ointment.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using bacitracin, call your doctor.",Bacitracin Topical,What special precautions should I follow for Bacitracin Topical ?
"Bacitracin is used to help prevent minor skin injuries such as cuts, scrapes, and burns from becoming infected. Bacitracin is in a class of medications called antibiotics. Bacitracin works by stopping the growth of bacteria.",Bacillus Calmette-Guerin (BCG) Vaccine,Why is Bacillus Calmette-Guerin (BCG) Vaccine medication prescribed?
"Bacitracin comes as an ointment to apply to the skin. It is usually used one to three times a day. Bacitracin ointment is available without a prescription. However, your doctor may give you special directions on the use of this medication for your medical problem. Follow the directions on the package or those given to you by your doctor carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use bacitracin exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor or written on the package.This medication is for use only on the skin. Do not let bacitracin get into your eyes, nose, or mouth and do not swallow it.You may use bacitracin to treat minor skin injuries. However, you should not use this medication to treat deep cuts, puncture wounds, animal bites, serious burns, or any injuries that affect large areas of your body. You should call your doctor or get emergency medical help if you have these types of injuries. A different treatment may be needed. You should also stop using this medication and call your doctor if you use this medication to treat a minor skin injury and your symptoms do not go away within 1 week.Do not apply this medication to a child's diaper area, especially if the skin surface is broken or raw, unless told to do so by a doctor. If you are told to apply it to a child's diaper area, do not use tightly fitting diapers or plastic pants.To use the ointment, follow these steps:Wash your hands well with soap and water. Wash the injured area with soap and water and pat dry thoroughly with a clean towel.Apply a small amount of the ointment (an amount equal to the size of your finger tip) to the injured skin. A thin layer is all that is needed. Do not touch the tip of the tube to your skin, hands, or anything else.Replace and tighten the cap right away.You may cover the affected area with a sterile bandage.Wash your hands again.",Bacillus Calmette-Guerin (BCG) Vaccine,How should Bacillus Calmette-Guerin (BCG) Vaccine medicine be used?
"Before using bacitracin,tell your doctor and pharmacist if you are allergic to bacitracin, zinc, any other medications, or any of the ingredients in bacitracin ointment.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using bacitracin, call your doctor.",Bacillus Calmette-Guerin (BCG) Vaccine,What special precautions should I follow for Bacillus Calmette-Guerin (BCG) Vaccine ?
Ophthalmic bacitracin is used to treat bacterial infections of the eye. Bacitracin is in a class of medications called antibiotics. It works by killing bacteria that cause infections.,Bacitracin Ophthalmic,Why is Bacitracin Ophthalmic medication prescribed?
"Ophthalmic bacitracin comes as an ointment to apply to the eyes. It is usually applied one to three times a day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use bacitracin eye ointment exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor.You should expect your symptoms to improve during your treatment. Call your doctor if your symptoms get worse or do not go away, or if you develop other problems with your eyes during your treatment.Use ophthalmic bacitracin until you finish the prescription, even if you feel better. If you stop using ophthalmic bacitracin too soon, your infection may not be completely cured and the bacteria may become resistant to antibiotics.To use the eye ointment, follow these steps:Wash your hands thoroughly with soap and water.Use a mirror or have someone else apply the ointment.Avoid touching the tip of the tube against your eye or anything else. The ointment must be kept clean.Tilt your head forward slightly.Holding the tube between your thumb and index finger, place the tube as near as possible to your eyelid without touching it.Brace the remaining fingers of that hand against your cheek or nose.With the index finger of your other hand, pull the lower lid of your eye down to form a pocket.Place a small amount of ointment into the pocket made by the lower lid and the eye. A 1/2 inch (1.25-centimeter) strip of ointment usually is enough unless otherwise directed by your doctor.Look downward, then gently close your eyes and keep them closed for 1 to 2 minutes to allow the medication to be absorbed.Replace and tighten the cap right away.Wipe off any excess ointment from your eyelids and lashes with a clean tissue. Do not rub your eyes, even if your vision is blurry. Wash your hands again.If your doctor has told you to use bacitracin eye ointment to treat an infection on your eyelids, carefully wipe your eyelids with water to remove scales and crusts. Then spread a small amount of the ointment evenly over the affected eyelid areas.",Bacitracin Ophthalmic,How should Bacitracin Ophthalmic medicine be used?
"Before using bacitracin eye ointment,tell your doctor and pharmacist if you are allergic to bacitracin, any other medications, or any of the ingredients in bacitracin eye ointment. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any other eye medications.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using bacitracin eye ointment, call your doctor.you should know that your vision may be blurry for a short amount of time after using the eye ointment. Wait until you can see normally before you drive or do other activities that require good vision.tell your doctor if you wear soft contact lenses. You should not wear contact lenses if you have an eye infection.",Bacitracin Ophthalmic,What special precautions should I follow for Bacitracin Ophthalmic ?
"Baclofen is used to treat pain and certain types of spasticity (muscle stiffness and tightness) from multiple sclerosis, spinal cord injuries, or other spinal cord diseases. Baclofen is in a class of medications called skeletal muscle relaxants. Baclofen acts on the spinal cord nerves and decreases the number and severity of muscle spasms caused by multiple sclerosis or spinal cord conditions. It also relieves pain and improves muscle movement.",Baclofen,Why is Baclofen medication prescribed?
"Baclofen comes as a tablet and a solution (liquid) to take by mouth. It usually is taken 3 times a day at evenly spaced intervals. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take baclofen exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.Use an oral syringe (measuring device) to accurately measure and take your dose of baclofen solution. Ask your pharmacist for an oral syringe if one is not included with your medication.Continue to take baclofen even if you feel well. Do not stop taking baclofen without talking to your doctor, especially if you have taken large doses for a long time. Abruptly stopping this medication can cause seizures, fever, confusion, muscle stiffness, or hallucinations. Your doctor probably will want to decrease your dose gradually.",Baclofen,How should Baclofen medicine be used?
